"queue_order","queue_group","record_id","legacy_label","proposed_name","statutory_scope","citation","source_url","existing_status","triage_reason","evidence_or_hold_reason","scope_specific_question","en_explanation","es_explanation","zh_explanation","recovered_authorities_pending_work","attorney_decision","attorney_notes","reviewer_name","review_date"
"27","legacy_hold","fl-commercial-burglary","Commercial Burglary","","810.02(3)","Fla. Stat. § 810.02(3)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0810/Sections/0810.02.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 810.02(3), should record fl-commercial-burglary be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"28","legacy_hold","fl-auto-burglary","Auto Burglary","","810.02(4)","Fla. Stat. § 810.02(4)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0810/Sections/0810.02.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 810.02(4), should record fl-auto-burglary be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"29","legacy_hold","fl-bank-robbery","Bank Robbery","","18 U.S.C. § 2113","Fla. Stat. § 18 U.S.C. § 2113","","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 18 U.S.C. § 2113, should record fl-bank-robbery be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"30","legacy_hold","fl-possession-of-controlled-substance","Possession of Controlled Substance","","893.13(6)","Fla. Stat. § 893.13(6)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0893/Sections/0893.13.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 893.13(6), should record fl-possession-of-controlled-substance be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"31","legacy_hold","fl-possession-with-intent-to-distribute","Possession with Intent to Distribute","Prohibited acts; penalties","893.13(1)(a)","Fla. Stat. § 893.13(1)(a)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0893/Sections/0893.13.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Prohibited acts; penalties"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 893.13(1)(a) support the legacy label “Possession with Intent to Distribute” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"32","legacy_hold","fl-distribution-of-controlled-substance","Distribution of Controlled Substance","","893.13(1)(a)","Fla. Stat. § 893.13(1)(a)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0893/Sections/0893.13.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 893.13(1)(a), should record fl-distribution-of-controlled-substance be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"33","legacy_hold","fl-manufacturing-controlled-substance","Manufacturing Controlled Substance","Prohibited acts; penalties","893.13(1)(a)","Fla. Stat. § 893.13(1)(a)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0893/Sections/0893.13.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Prohibited acts; penalties"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 893.13(1)(a) support the legacy label “Manufacturing Controlled Substance” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"34","legacy_hold","fl-drug-trafficking","Drug Trafficking","Trafficking; mandatory sentences; suspension or reduction of sentences; conspiracy to engage in trafficking","893.135","Fla. Stat. § 893.135","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0893/Sections/0893.135.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Trafficking; mandatory sentences; suspension or reduction of sentences; conspiracy to engage in trafficking"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 893.135 support the legacy label “Drug Trafficking” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"35","legacy_hold","fl-possession-of-drug-paraphernalia","Possession of Drug Paraphernalia","Use, possession, manufacture, delivery, transportation, advertisement, or retail sale of drug paraphernalia, specified machines, and materials","893.147(1)","Fla. Stat. § 893.147(1)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0893/Sections/0893.147.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Use, possession, manufacture, delivery, transportation, advertisement, or retail sale of drug paraphernalia, specified machines, and materials"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 893.147(1) support the legacy label “Possession of Drug Paraphernalia” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"36","legacy_hold","fl-maintaining-drug-house","Maintaining Drug House","","893.1351","Fla. Stat. § 893.1351","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0893/Sections/0893.1351.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 893.1351, should record fl-maintaining-drug-house be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"37","legacy_hold","fl-felon-in-possession-of-firearm","Felon in Possession of Firearm","Felons and delinquents; possession of firearms, ammunition, or electric weapons or devices unlawful","790.23","Fla. Stat. § 790.23","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0700-0799/0790/Sections/0790.23.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Felons and delinquents; possession of firearms, ammunition, or electric weapons or devices unlawful"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 790.23 support the legacy label “Felon in Possession of Firearm” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"38","legacy_hold","fl-possession-of-prohibited-weapon","Possession of Prohibited Weapon","Possession of short-barreled rifle, short-barreled shotgun, or machine gun; penalty","790.221","Fla. Stat. § 790.221","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0700-0799/0790/Sections/0790.221.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Possession of short-barreled rifle, short-barreled shotgun, or machine gun; penalty"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 790.221 support the legacy label “Possession of Prohibited Weapon” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"39","legacy_hold","fl-wire-fraud","Wire Fraud","","969.256","Fla. Stat. § 969.256","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0900-0999/0969/Sections/0969.256.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 969.256, should record fl-wire-fraud be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"40","legacy_hold","fl-mail-fraud","Mail Fraud","","683.650","Fla. Stat. § 683.650","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0600-0699/0683/Sections/0683.650.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 683.650, should record fl-mail-fraud be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"41","legacy_hold","fl-check-fraud","Check Fraud","Giving worthless checks, drafts, and debit card orders; penalty; duty of drawee; evidence; costs; complaint form","832.05","Fla. Stat. § 832.05","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0832/Sections/0832.05.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Giving worthless checks, drafts, and debit card orders; penalty; duty of drawee; evidence; costs; complaint form"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 832.05 support the legacy label “Check Fraud” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"42","legacy_hold","fl-insurance-fraud","Insurance Fraud","False and fraudulent insurance claims","817.234","Fla. Stat. § 817.234","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0817/Sections/0817.234.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""False and fraudulent insurance claims"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 817.234 support the legacy label “Insurance Fraud” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"43","legacy_hold","fl-tax-fraud","Tax Fraud","","213.29","Fla. Stat. § 213.29","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0200-0299/0213/Sections/0213.29.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 213.29, should record fl-tax-fraud be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"44","legacy_hold","fl-computer-fraud","Computer Fraud","Offenses against users of computers, computer systems, computer networks, and electronic devices","815.06","Fla. Stat. § 815.06","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0815/Sections/0815.06.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Offenses against users of computers, computer systems, computer networks, and electronic devices"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 815.06 support the legacy label “Computer Fraud” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"45","legacy_hold","fl-disorderly-conduct","Disorderly Conduct","Breach of the peace; disorderly conduct","877.03","Fla. Stat. § 877.03","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0877/Sections/0877.03.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Breach of the peace; disorderly conduct"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 877.03 support the legacy label “Disorderly Conduct” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"46","legacy_hold","fl-vandalism","Vandalism","Criminal mischief; penalties; penalty for minor","806.13","Fla. Stat. § 806.13","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0806/Sections/0806.13.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Criminal mischief; penalties; penalty for minor"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 806.13 support the legacy label “Vandalism” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"47","legacy_hold","fl-dui-first-offense","DUI First Offense","Driving under the influence; penalties","316.193","Fla. Stat. § 316.193","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0300-0399/0316/Sections/0316.193.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Driving under the influence; penalties"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 316.193 support the legacy label “DUI First Offense” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"48","legacy_hold","fl-dui-second-offense","DUI Second Offense","Driving under the influence; penalties","316.193(2)(a)","Fla. Stat. § 316.193(2)(a)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0300-0399/0316/Sections/0316.193.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Driving under the influence; penalties"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 316.193(2)(a) support the legacy label “DUI Second Offense” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"49","legacy_hold","fl-dui-third-offense","DUI Third Offense","Driving under the influence; penalties","316.193(2)(b)1","Fla. Stat. § 316.193(2)(b)1","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0300-0399/0316/Sections/0316.193.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Driving under the influence; penalties"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 316.193(2)(b)1 support the legacy label “DUI Third Offense” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"50","legacy_hold","fl-hit-and-run","Hit and Run","","316.061","Fla. Stat. § 316.061","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0300-0399/0316/Sections/0316.061.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 316.061, should record fl-hit-and-run be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"51","legacy_hold","fl-petit-theft","Petit Theft (Under $750)","","812.014(2)(e)","Fla. Stat. § 812.014(2)(e)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0812/Sections/0812.014.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 812.014(2)(e), should record fl-petit-theft be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"52","legacy_hold","fl-battery","Simple Battery","Battery; felony battery","784.03","Fla. Stat. § 784.03","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0700-0799/0784/Sections/0784.03.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Battery; felony battery"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 784.03 support the legacy label “Simple Battery” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"53","legacy_hold","fl-domestic-battery","Domestic Battery","","784.03(1)(a)","Fla. Stat. § 784.03(1)(a)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0700-0799/0784/Sections/0784.03.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 784.03(1)(a), should record fl-domestic-battery be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"54","legacy_hold","fl-driving-with-suspended-license","Driving with a Suspended License (DWLSR)","Driving while license suspended, revoked, canceled, or disqualified","322.34","Fla. Stat. § 322.34","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0300-0399/0322/Sections/0322.34.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Driving while license suspended, revoked, canceled, or disqualified"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 322.34 support the legacy label “Driving with a Suspended License (DWLSR)” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"55","legacy_hold","fl-violation-of-probation","Violation of Probation","Violation of probation or community control; revocation; modification; continuance; failure to pay restitution or cost of supervision","948.06","Fla. Stat. § 948.06","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0900-0999/0948/Sections/0948.06.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Violation of probation or community control; revocation; modification; continuance; failure to pay restitution or cost of supervision"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 948.06 support the legacy label “Violation of Probation” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"56","legacy_hold","fl-failure-to-appear","Failure to Appear","","843.15","Fla. Stat. § 843.15","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0843/Sections/0843.15.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 843.15, should record fl-failure-to-appear be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"57","legacy_hold","fl-resisting-arrest","Resisting Arrest / Obstruction","","843.01","Fla. Stat. § 843.01","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0843/Sections/0843.01.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 843.01, should record fl-resisting-arrest be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"58","legacy_hold","fl-protective-order-violation","Violation of Protective Order","","741.31","Fla. Stat. § 741.31","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0700-0799/0741/Sections/0741.31.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 741.31, should record fl-protective-order-violation be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"59","legacy_hold","fl-open-container","Open Container Violation","","316.1936","Fla. Stat. § 316.1936","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0300-0399/0316/Sections/0316.1936.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 316.1936, should record fl-open-container be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"60","legacy_hold","fl-false-info-to-police","Providing False Information to Police","","837.05","Fla. Stat. § 837.05","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0837/Sections/0837.05.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 837.05, should record fl-false-info-to-police be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"61","legacy_hold","fl-harassment","Harassment / Stalking","Stalking; definitions; penalties","784.048","Fla. Stat. § 784.048","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0700-0799/0784/Sections/0784.048.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Stalking; definitions; penalties"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 784.048 support the legacy label “Harassment / Stalking” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"62","legacy_hold","fl-contempt-of-court","Contempt of Court","","38.22","Fla. Stat. § 38.22","","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 38.22, should record fl-contempt-of-court be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"63","legacy_hold","fl-solicitation","Solicitation / Prostitution","Prohibiting prostitution and related acts","796.07","Fla. Stat. § 796.07","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0700-0799/0796/Sections/0796.07.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Prohibiting prostitution and related acts"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 796.07 support the legacy label “Solicitation / Prostitution” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"64","legacy_hold","fl-driving-without-insurance","Driving Without Insurance","","316.646","Fla. Stat. § 316.646","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0300-0399/0316/Sections/0316.646.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 316.646, should record fl-driving-without-insurance be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"65","legacy_hold","fl-expired-registration","Driving with Expired Registration","","320.07","Fla. Stat. § 320.07","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0300-0399/0320/Sections/0320.07.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 320.07, should record fl-expired-registration be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"66","legacy_hold","fl-expired-inspection","Driving with Expired/No Inspection","Safety of vehicle; inspection","316.610","Fla. Stat. § 316.610","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0300-0399/0316/Sections/0316.610.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Safety of vehicle; inspection"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 316.610 support the legacy label “Driving with Expired/No Inspection” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"67","legacy_hold","fl-failure-to-pay-child-support","Criminal Nonsupport / Failure to Pay Child Support","","827.06","Fla. Stat. § 827.06","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0827/Sections/0827.06.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 827.06, should record fl-failure-to-pay-child-support be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"68","legacy_hold","fl-noise-violation","Noise Violation / Disturbing the Peace by Noise","","877.03","Fla. Stat. § 877.03","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0877/Sections/0877.03.html","require_exact_reselection","current_authority_unavailable","Florida Legislature section 386.04 could not be verified.","What current authority, if any, supports record fl-noise-violation at Fla. Stat. § 877.03? Keep held unless the exact current source and scope are supplied.","","","","Exact current authority identified in the manifest reason","","","",""
"69","legacy_hold","fl-indecent-exposure","Indecent Exposure / Public Urination","Exposure of sexual organs","800.03","Fla. Stat. § 800.03","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0800/Sections/0800.03.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Exposure of sexual organs"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 800.03 support the legacy label “Indecent Exposure / Public Urination” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"70","legacy_hold","fl-fake-id","Possession of Fake/Fraudulent ID","Unauthorized possession of, and other unlawful acts in relation to, driver license or identification card","322.212","Fla. Stat. § 322.212","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0300-0399/0322/Sections/0322.212.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Unauthorized possession of, and other unlawful acts in relation to, driver license or identification card"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 322.212 support the legacy label “Possession of Fake/Fraudulent ID” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"71","legacy_hold","fl-animal-at-large","Animal at Large / Leash Law Violation","Dog owner’s liability for damages to persons, domestic animals, or livestock","767.01","Fla. Stat. § 767.01","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0700-0799/0767/Sections/0767.01.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Dog owner’s liability for damages to persons, domestic animals, or livestock"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 767.01 support the legacy label “Animal at Large / Leash Law Violation” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"72","legacy_hold","fl-animal-cruelty-misdemeanor","Animal Cruelty (Misdemeanor)","Cruelty to animals","828.12(1)","Fla. Stat. § 828.12(1)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0828/Sections/0828.12.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Cruelty to animals"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 828.12(1) support the legacy label “Animal Cruelty (Misdemeanor)” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"73","legacy_hold","fl-illegal-camping","Illegal Camping / Sleeping in Public","Loitering or prowling; penalty","856.021","Fla. Stat. § 856.021","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0856/Sections/0856.021.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Loitering or prowling; penalty"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 856.021 support the legacy label “Illegal Camping / Sleeping in Public” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"74","legacy_hold","fl-panhandling","Panhandling / Aggressive Solicitation","Loitering or prowling; penalty","856.021","Fla. Stat. § 856.021","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0856/Sections/0856.021.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Loitering or prowling; penalty"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 856.021 support the legacy label “Panhandling / Aggressive Solicitation” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"75","legacy_hold","fl-unregistered-vehicle","Operating Unregistered / Uninsured Vehicle","Registration required; application for registration; forms","320.02","Fla. Stat. § 320.02","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0300-0399/0320/Sections/0320.02.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Registration required; application for registration; forms"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 320.02 support the legacy label “Operating Unregistered / Uninsured Vehicle” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
