"ordinal","legacyId","legacyLabel","legacyCode","legacyCategory","classification","coverageExtent","existingExactRecordIds","existingExactCitations","proposedAction","attorneyQuestion","safeMechanical","evidenceCitations","evidenceSourceHashes","supportQuotes"
"24","fl-drug-trafficking","Drug Trafficking","893.135","felony","covered_by_existing_exact_record","partial","fl-fs-893-135-1-b-1-trafficking-in-cocaine | fl-fs-893-135-1-c-1-trafficking-in-illegal-drugs","Fla. Stat. § 893.135(1)(b)1. | Fla. Stat. § 893.135(1)(c)1.","Retire the umbrella legacy row; use the enumerated exact records and do not imply coverage beyond them.","","false","Fla. Stat. § 893.135(1)(b)1. | Fla. Stat. § 893.135(1)(c)1. | Fla. Stat. § 893.135","89e02bc5def35b31b0dd48d21b0d1b7f77c477dd5fd3a34cd41524cbdcae4b3f | 89e02bc5def35b31b0dd48d21b0d1b7f77c477dd5fd3a34cd41524cbdcae4b3f | 89e02bc5def35b31b0dd48d21b0d1b7f77c477dd5fd3a34cd41524cbdcae4b3f","commits a felony of the first degree, which felony shall be known as “trafficking in cocaine,” punishable as provided in s. 775.082, s. 775.083, or s. 775.084. | commits a felony of the first degree, which felony shall be known as “trafficking in illegal drugs,” punishable as provided in s. 775.082, s. 775.083, or s. 775.084. | 893.135 
Trafficking; mandatory sentences; suspension or reduction of sentences; conspiracy to engage in trafficking.
—

(1) 
Except as authorized in this chapter or in chapter 499 and notwithstanding the provisions of s. 893.13:
(a) 
Any person who knowingly sells, purchases, manufactures, delivers, or brings into this state, or who is knowingly in actual or constructive possession of, in excess of 25 pounds of cannabis, or 300 or more cannabis plants, commits a felony of the first degree, which felony shall be known as “trafficking in cannabis,” punishable as provided in s. 775.082, s. 775.083, or s. 775.084. If the quantity of cannabis involved:
1. 
Is in excess of 25 pounds, but less th…"
"25","fl-possession-of-drug-paraphernalia","Possession of Drug Paraphernalia","893.147(1)","misdemeanor","mechanical_correction","full","fl-fs-893-147-1-use-possession-manufacture-delivery-transportation-advertisement-or-retail-sale-of-drug-paraphernalia-specified-machines-and-materials","Fla. Stat. § 893.147(1)","Retire the legacy row and route selection to fl-fs-893-147-1-use-possession-manufacture-delivery-transportation-advertisement-or-retail-sale-of-drug-paraphernalia-specified-machines-and-materials; preserve the source-first display name and exact code.","","true","Fla. Stat. § 893.147(1) | Fla. Stat. § 893.147","d087a2f6005abfe8a24146886d094031a6c97758d2cb684073db085a562ed536 | d087a2f6005abfe8a24146886d094031a6c97758d2cb684073db085a562ed536","Use, possession, manufacture, delivery, transportation, advertisement, or retail sale of drug paraphernalia, specified machines, and materials | 893.147 
Use, possession, manufacture, delivery, transportation, advertisement, or retail sale of drug paraphernalia, specified machines, and materials.
—

(1) 
USE OR POSSESSION OF DRUG PARAPHERNALIA.—
It is unlawful for any person to use, or to possess with intent to use, drug paraphernalia:
(a) 
To plant, propagate, cultivate, grow, harvest, manufacture, compound, convert, produce, process, prepare, test, analyze, pack, repack, store, contain, or conceal a controlled substance in violation of this chapter; or

(b) 
To inject, ingest, inhale, or otherwise introduce into the human body a controlled substance in violation of this chapter.

Any person who violates this subsection is guilty o…"
"26","fl-maintaining-drug-house","Maintaining Drug House","893.1351","felony","genuinely_missing_offense","none","","","Author a new exact source-first record for the proven offense branch, with exact subdivision and grading evidence.","","false","Fla. Stat. § 893.1351","40fbccfa0c0057b55eef155e9c22d0b8eb0a7bd373b61f03c68a0de717e3a906","893.1351 
Ownership, lease, rental, or possession for trafficking in or manufacturing a controlled substance.
—

(1) 
A person may not own, lease, or rent any place, structure, or part thereof, trailer, or other conveyance with the knowledge that the place, structure, trailer, or conveyance will be used for the purpose of trafficking in a controlled substance, as provided in s. 893.135; for the sale of a controlled substance, as provided in s. 893.13; or for the manufacture of a controlled substance intended for sale or distribution to another. A person who violates this subsection commits a felony of the third degree, punishable as provided in s. 775.082, s. 775.083, or s. 775.084.

(2) 
A…"
"27","fl-felon-in-possession-of-firearm","Felon in Possession of Firearm","790.23","felony","mechanical_correction","full","fl-fs-790-23-felons-and-delinquents-possession-of-firearms-ammunition-or-electric-weapons-or-devices-unlawful","Fla. Stat. § 790.23(1)","Retire the legacy row and route selection to fl-fs-790-23-felons-and-delinquents-possession-of-firearms-ammunition-or-electric-weapons-or-devices-unlawful; preserve the source-first display name and exact code.","","true","Fla. Stat. § 790.23(1) | Fla. Stat. § 790.23","7cccddd133508a99f451fe827c60c0d01c22ea27bdd5b266ada759c222d50c1d | 7cccddd133508a99f451fe827c60c0d01c22ea27bdd5b266ada759c222d50c1d","Felons and delinquents; possession of firearms, ammunition, or electric weapons or devices unlawful | 790.23 
Felons and delinquents; possession of firearms, ammunition, or electric weapons or devices unlawful.
—

(1) 
It is unlawful for any person to own or to have in his or her care, custody, possession, or control any firearm, ammunition, or electric weapon or device, or to carry a concealed weapon, including a tear gas gun or chemical weapon or device, if that person has been:
(a) 
Convicted of a felony in the courts of this state;

(b) 
Found, in the courts of this state, to have committed a delinquent act that would be a felony if committed by an adult and such person is under 24 years of age;

(c) 
Convicted of or found to have committed a crime against the United States which is des…"
"28","fl-possession-of-prohibited-weapon","Possession of Prohibited Weapon","790.221","felony","mechanical_correction","full","fl-fs-790-221-possession-of-short-barreled-rifle-short-barreled-shotgun-or-machine-gun-penalty","Fla. Stat. § 790.221","Retire the legacy row and route selection to fl-fs-790-221-possession-of-short-barreled-rifle-short-barreled-shotgun-or-machine-gun-penalty; preserve the source-first display name and exact code.","","true","Fla. Stat. § 790.221 | Fla. Stat. § 790.221","e6ed1741c1a29b4614a6ae01ad7b29589a48ce433513d198ccf9420afda2d886 | e6ed1741c1a29b4614a6ae01ad7b29589a48ce433513d198ccf9420afda2d886","Possession of short-barreled rifle, short-barreled shotgun, or machine gun; penalty | 790.221 
Possession of short-barreled rifle, short-barreled shotgun, or machine gun; penalty.
—

(1) 
It is unlawful for any person to own or to have in his or her care, custody, possession, or control any short-barreled rifle, short-barreled shotgun, or machine gun which is, or may readily be made, operable; but this section shall not apply to antique firearms.

(2) 
A person who violates this section commits a felony of the second degree, punishable as provided in s. 775.082, s. 775.083, or s. 775.084.

(3) 
Firearms in violation hereof which are lawfully owned and possessed under provisions of federal law are excepted.

History.
—
s. 10, ch. 69-306; s. 1, ch. 89-312; s. 21, ch. 93-406; s…"
"29","fl-wire-fraud","Wire Fraud","969.256","felony","nonoffense_or_out_of_scope_candidate","none","","","Remove from the Florida offense catalog or move to a separately labeled procedure/enhancement/infraction workflow after owner confirmation.","","false","969.256","12d1c278da4d347481b37529656b21bc8eeb51c52fb051862da11c99970cd399","The catalog code does not exactly support every cited Florida statutory section and subdivision."
"30","fl-mail-fraud","Mail Fraud","683.650","felony","nonoffense_or_out_of_scope_candidate","none","","","Remove from the Florida offense catalog or move to a separately labeled procedure/enhancement/infraction workflow after owner confirmation.","","false","683.650","e4230e884da5a15be15c25fd6be7a21219fa11eb5a994cc6b08327c3b4906487","The catalog code does not exactly support every cited Florida statutory section and subdivision."
"31","fl-check-fraud","Check Fraud","832.05","felony","covered_by_existing_exact_record","partial","fl-fs-832-05-giving-worthless-checks-drafts-and-debit-card-orders-penalty-duty-of-drawee-evidence-costs-complaint-form","Fla. Stat. § 832.05(2)-(4)","Retire the umbrella legacy row; use the enumerated exact records and do not imply coverage beyond them.","","false","Fla. Stat. § 832.05(2)-(4) | Fla. Stat. § 832.05","f6ee675959afb225bdedeb7bde9a8bc72d4fc8230e7e5e589425f4f8fc5085a2 | f6ee675959afb225bdedeb7bde9a8bc72d4fc8230e7e5e589425f4f8fc5085a2","Giving worthless checks, drafts, and debit card orders; penalty; duty of drawee; evidence; costs; complaint form | 832.05 
Giving worthless checks, drafts, and debit card orders; penalty; duty of drawee; evidence; costs; complaint form.
—

(1) 
PURPOSE.—
The purpose of this section is to remedy the evil of giving checks, drafts, bills of exchange, debit card orders, and other orders on banks without first providing funds in or credit with the depositories on which the same are made or drawn to pay and satisfy the same, which tends to create the circulation of worthless checks, drafts, bills of exchange, debit card orders, and other orders on banks, bad banking, check kiting, and a mischief to trade and commerce.

(2) 
WORTHLESS CHECKS, DRAFTS, OR DEBIT CARD ORDERS; PENALTY.—

(a) 
It is unlawful for any…"
"32","fl-insurance-fraud","Insurance Fraud","817.234","felony","mechanical_correction","full","fl-fs-817-234-insurance-fraud","Fla. Stat. § 817.234(1)(a)","Retire the legacy row and route selection to fl-fs-817-234-insurance-fraud; preserve the source-first display name and exact code.","","true","Fla. Stat. § 817.234(1)(a) | Fla. Stat. § 817.234","3f8622213620fe67548e2294bad82f7f83d8221086435a65a20d0497a62d75f5 | 3f8622213620fe67548e2294bad82f7f83d8221086435a65a20d0497a62d75f5","A person commits insurance fraud punishable as provided in subsection (11) if that person, with the intent to injure, defraud, or deceive any insurer: | 817.234 
False and fraudulent insurance claims.
—

(1)(a) 
A person commits insurance fraud punishable as provided in subsection (11) if that person, with the intent to injure, defraud, or deceive any insurer:
1. 
Presents or causes to be presented any written or oral statement as part of, or in support of, a claim for payment or other benefit pursuant to an insurance policy or a health maintenance organization subscriber or provider contract, knowing that such statement contains any false, incomplete, or misleading information concerning any fact or thing material to such claim;

2. 
Prepares or makes any written or oral statement that is intended to be presented to any insurer in connecti…"
"33","fl-tax-fraud","Tax Fraud","213.29","felony","real_legal_question","none","","","Hold for the single narrow attorney question; do not map by heading or citation alone.","What exact Florida offense and subdivision, if any, should the label “Tax Fraud” represent?","false","213.29","71f051a0b84dc818fd580fcda26f3b778cefb933fca27b47813fe470cb72171f","The catalog code does not exactly support every cited Florida statutory section and subdivision."
"34","fl-computer-fraud","Computer Fraud","815.06","felony","mechanical_correction","full","fl-fs-815-06-offense-against-users-of-computers-computer-systems-computer-networks-or-electronic-devices","Fla. Stat. § 815.06(2)-(3)","Retire the legacy row and route selection to fl-fs-815-06-offense-against-users-of-computers-computer-systems-computer-networks-or-electronic-devices; preserve the source-first display name and exact code.","","true","Fla. Stat. § 815.06(2)-(3) | Fla. Stat. § 815.06","fa2eccee748350078b38da92e838a4525c91af38d1752a5eca4f9f1d0ba99377 | fa2eccee748350078b38da92e838a4525c91af38d1752a5eca4f9f1d0ba99377","A person commits an offense against users of computers, computer systems, computer networks, or electronic devices if he or she willfully, knowingly, and without authorization or exceeding authorization: | 815.06 
Offenses against users of computers, computer systems, computer networks, and electronic devices.
—

(1) 
As used in this section, the term “user” means a person with the authority to operate or maintain a computer, computer system, computer network, or electronic device.

(2) 
A person commits an offense against users of computers, computer systems, computer networks, or electronic devices if he or she willfully, knowingly, and without authorization or exceeding authorization:
(a) 
Accesses or causes to be accessed any computer, computer system, computer network, or electronic device with knowledge that such access is unauthorized or the manner of use exceeds authorization;

(b) 
D…"
"35","fl-disorderly-conduct","Disorderly Conduct","877.03","misdemeanor","mechanical_correction","full","fl-fs-877-03-breach-of-the-peace-disorderly-conduct","Fla. Stat. § 877.03","Retire the legacy row and route selection to fl-fs-877-03-breach-of-the-peace-disorderly-conduct; preserve the source-first display name and exact code.","","true","Fla. Stat. § 877.03 | Fla. Stat. § 877.03","813f9375f538cb1c40f0079335c3c7a8447dbe82c71b8afb5120c1c439316e92 | 813f9375f538cb1c40f0079335c3c7a8447dbe82c71b8afb5120c1c439316e92","Breach of the peace; disorderly conduct | 877.03 
Breach of the peace; disorderly conduct.
—

Whoever commits such acts as are of a nature to corrupt the public morals, or outrage the sense of public decency, or affect the peace and quiet of persons who may witness them, or engages in brawling or fighting, or engages in such conduct as to constitute a breach of the peace or disorderly conduct, shall be guilty of a misdemeanor of the second degree, punishable as provided in s. 775.082 or s. 775.083.

History.
—
s. 1, ch. 59-325; s. 1147, ch. 71-136; s. 2, ch. 86-174."
"36","fl-vandalism","Vandalism","806.13","misdemeanor","mechanical_correction","full","fl-fs-806-13-criminal-mischief","Fla. Stat. § 806.13(1)","Retire the legacy row and route selection to fl-fs-806-13-criminal-mischief; preserve the source-first display name and exact code.","","true","Fla. Stat. § 806.13(1) | Fla. Stat. § 806.13","2a26f6fe81a54e875fffe4fec87b9e390243943b9cf092999a9d8c13400852ac | 2a26f6fe81a54e875fffe4fec87b9e390243943b9cf092999a9d8c13400852ac","A person commits the offense of criminal mischief if he or she willfully and maliciously injures or damages by any means any real or personal property belonging to another, including, but not limited to, the placement of graffiti thereon or other acts of vandalism thereto. | 806.13 
Criminal mischief; penalties; penalty for minor.
—

(1)(a) 
A person commits the offense of criminal mischief if he or she willfully and maliciously injures or damages by any means any real or personal property belonging to another, including, but not limited to, the placement of graffiti thereon or other acts of vandalism thereto.

(b)1. 
If the damage to such property is $200 or less, it is a misdemeanor of the second degree, punishable as provided in s. 775.082 or s. 775.083.

2. 
If the damage to such property is greater than $200 but less than $1,000, it is a misdemeanor of the first degree, punishable as provided in s. 775.082 or s. 775.083.

3. 
If the damage is $1,000 or gre…"
"37","fl-dui-first-offense","DUI First Offense","316.193","misdemeanor","covered_by_existing_exact_record","partial","fl-fs-316-193-1-driving-under-the-influence","Fla. Stat. § 316.193(1)","Retire the umbrella legacy row; use the enumerated exact records and do not imply coverage beyond them.","","false","Fla. Stat. § 316.193(1) | Fla. Stat. § 316.193","e8713b0e9f2415de8fae4d55178db0c2ba572df5f3a3ad1107072b5506c4701f | e8713b0e9f2415de8fae4d55178db0c2ba572df5f3a3ad1107072b5506c4701f","A person is guilty of the offense of driving under the influence and is subject to punishment as provided in subsection (2) if the person is driving or in actual physical control of a vehicle within this state and: | 316.193 
Driving under the influence; penalties.
—

(1) 
A person is guilty of the offense of driving under the influence and is subject to punishment as provided in subsection (2) if the person is driving or in actual physical control of a vehicle within this state and:
(a) 
The person is under the influence of alcoholic beverages, any chemical substance set forth in s. 877.111, or any substance controlled under chapter 893, when affected to the extent that the person’s normal faculties are impaired;

(b) 
The person has a blood-alcohol level of 0.08 or more grams of alcohol per 100 milliliters of blood; or

(c) 
The person has a breath-alcohol level of 0.08 or more grams of alcohol per 21…"
"38","fl-dui-second-offense","DUI Second Offense","316.193(2)(a)","misdemeanor","genuinely_missing_offense","none","","","Author a new exact source-first record for the proven offense branch, with exact subdivision and grading evidence.","","false","Fla. Stat. § 316.193","e8713b0e9f2415de8fae4d55178db0c2ba572df5f3a3ad1107072b5506c4701f","316.193 
Driving under the influence; penalties.
—

(1) 
A person is guilty of the offense of driving under the influence and is subject to punishment as provided in subsection (2) if the person is driving or in actual physical control of a vehicle within this state and:
(a) 
The person is under the influence of alcoholic beverages, any chemical substance set forth in s. 877.111, or any substance controlled under chapter 893, when affected to the extent that the person’s normal faculties are impaired;

(b) 
The person has a blood-alcohol level of 0.08 or more grams of alcohol per 100 milliliters of blood; or

(c) 
The person has a breath-alcohol level of 0.08 or more grams of alcohol per 21…"
"39","fl-dui-third-offense","DUI Third Offense","316.193(2)(b)1","felony","genuinely_missing_offense","none","","","Author a new exact source-first record for the proven offense branch, with exact subdivision and grading evidence.","","false","Fla. Stat. § 316.193","e8713b0e9f2415de8fae4d55178db0c2ba572df5f3a3ad1107072b5506c4701f","316.193 
Driving under the influence; penalties.
—

(1) 
A person is guilty of the offense of driving under the influence and is subject to punishment as provided in subsection (2) if the person is driving or in actual physical control of a vehicle within this state and:
(a) 
The person is under the influence of alcoholic beverages, any chemical substance set forth in s. 877.111, or any substance controlled under chapter 893, when affected to the extent that the person’s normal faculties are impaired;

(b) 
The person has a blood-alcohol level of 0.08 or more grams of alcohol per 100 milliliters of blood; or

(c) 
The person has a breath-alcohol level of 0.08 or more grams of alcohol per 21…"
"40","fl-hit-and-run","Hit and Run","316.061","misdemeanor","mechanical_correction","full","fl-fs-316-061-1-crashes-involving-damage-to-vehicle-or-property","Fla. Stat. § 316.061(1)","Retire the legacy row and route selection to fl-fs-316-061-1-crashes-involving-damage-to-vehicle-or-property; preserve the source-first display name and exact code.","","true","Fla. Stat. § 316.061(1) | Fla. Stat. § 316.061","5738ff75d998af32ab1026a843e15292b98d19b5b5d0dd73ac3b03e61a4bdfa4 | 5738ff75d998af32ab1026a843e15292b98d19b5b5d0dd73ac3b03e61a4bdfa4","Crashes involving damage to vehicle or property | 316.061 
Crashes involving damage to vehicle or property.
—

(1) 
The driver of any vehicle involved in a crash resulting only in damage to a vehicle or other property which is driven or attended by any person shall immediately stop such vehicle at the scene of such crash or as close thereto as possible, and shall forthwith return to, and in every event shall remain at, the scene of the crash until he or she has fulfilled the requirements of s. 316.062. A person who violates this subsection commits a misdemeanor of the second degree, punishable as provided in s. 775.082 or s. 775.083. The court may order a driver convicted of a violation of this section, who caused or otherwise contributed…"
"41","fl-petit-theft","Petit Theft (Under $750)","812.014(2)(e)","misdemeanor","real_legal_question","none","","","Hold for the single narrow attorney question; do not map by heading or citation alone.","What exact Florida offense and subdivision, if any, should the label “Petit Theft (Under $750)” represent?","false","Fla. Stat. § 812.014","fe7a7c622d57b4b205f717d630c5e1b9c3414f6ce68327a1ce0d17f004247ec3","812.014 
Theft.
—

(1) 
A person commits theft if he or she knowingly obtains or uses, or endeavors to obtain or to use, the property of another with intent to, either temporarily or permanently:
(a) 
Deprive the other person of a right to the property or a benefit from the property.

(b) 
Appropriate the property to his or her own use or to the use of any person not entitled to the use of the property.

(2)(a)1. 
If the property stolen is valued at $100,000 or more or is a semitrailer that was deployed by a law enforcement officer; or

2. 
If the property stolen is cargo valued at $50,000 or more that has entered the stream of interstate or intrastate commerce from the shipper’s loading pl…"
"42","fl-battery","Simple Battery","784.03","misdemeanor","mechanical_correction","full","fl-fs-784-03-battery","Fla. Stat. § 784.03(1)(a)","Retire the legacy row and route selection to fl-fs-784-03-battery; preserve the source-first display name and exact code.","","true","Fla. Stat. § 784.03(1)(a) | Fla. Stat. § 784.03","c2683c299ff1785d755e2fadcdc82b5a8935321faac5d614bc68442c09816e20 | c2683c299ff1785d755e2fadcdc82b5a8935321faac5d614bc68442c09816e20","The offense of battery occurs when a person: | 784.03 
Battery; felony battery.
—

(1)(a) 
The offense of battery occurs when a person:
1. 
Actually and intentionally touches or strikes another person against the will of the other; or

2. 
Intentionally causes bodily harm to another person.

(b) 
Except as provided in subsection (2) or subsection (3), a person who commits battery commits a misdemeanor of the first degree, punishable as provided in s. 775.082 or s. 775.083.

(2) 
A person who has one prior conviction for battery, aggravated battery, felony battery, or resisting an officer with violence under s. 843.01 and who commits any second or subsequent battery commits a felony of the third degree, punishable as provided in s. 775.0…"
"43","fl-domestic-battery","Domestic Battery","784.03(1)(a)","misdemeanor","real_legal_question","none","","","Hold for the single narrow attorney question; do not map by heading or citation alone.","Should the catalog model domestic relationship facts separately from § 784.03 battery?","false","Fla. Stat. § 784.03","c2683c299ff1785d755e2fadcdc82b5a8935321faac5d614bc68442c09816e20","784.03 
Battery; felony battery.
—

(1)(a) 
The offense of battery occurs when a person:
1. 
Actually and intentionally touches or strikes another person against the will of the other; or

2. 
Intentionally causes bodily harm to another person.

(b) 
Except as provided in subsection (2) or subsection (3), a person who commits battery commits a misdemeanor of the first degree, punishable as provided in s. 775.082 or s. 775.083.

(2) 
A person who has one prior conviction for battery, aggravated battery, felony battery, or resisting an officer with violence under s. 843.01 and who commits any second or subsequent battery commits a felony of the third degree, punishable as provided in s. 775.0…"
"44","fl-driving-with-suspended-license","Driving with a Suspended License (DWLSR)","322.34","misdemeanor","mechanical_correction","full","fl-fs-322-34-2-driving-while-license-suspended-revoked-canceled-or-disqualified","Fla. Stat. § 322.34(2)","Retire the legacy row and route selection to fl-fs-322-34-2-driving-while-license-suspended-revoked-canceled-or-disqualified; preserve the source-first display name and exact code.","","true","Fla. Stat. § 322.34(2) | Fla. Stat. § 322.34","9983473af9d386f96fb91611db1a1f4d235173a736b9376129b473da4e97612b | 9983473af9d386f96fb91611db1a1f4d235173a736b9376129b473da4e97612b","Driving while license suspended, revoked, canceled, or disqualified | 322.34 
Driving while license suspended, revoked, canceled, or disqualified.
—

(1) 
Except as provided in subsection (2), any person whose driver license or driving privilege has been canceled, suspended, or revoked, except a “habitual traffic offender” as defined in s. 322.264, who drives a vehicle upon the highways of this state while such license or privilege is canceled, suspended, or revoked is guilty of a moving violation, punishable as provided in chapter 318.

(2) 
Any person whose driver license or driving privilege has been canceled, suspended, or revoked as provided by law, or who does not have a driver license or driving privilege but is under suspension or revocation equivalen…"
"45","fl-violation-of-probation","Violation of Probation","948.06","misdemeanor","real_legal_question","none","","","Hold for the single narrow attorney question; do not map by heading or citation alone.","Should a revocation proceeding under § 948.06 ever appear in the offense selector?","false","Fla. Stat. § 948.06","6e3f62bce9ee9571b6893aee65275fe5a8185fecf1cabac131b8628099af246d","948.06 
Violation of probation or community control; revocation; modification; continuance; failure to pay restitution or cost of supervision.
—

(1)(a) 
Whenever within the period of probation or community control there are reasonable grounds to believe that a probationer or offender in community control has violated his or her probation or community control in a material respect, any law enforcement officer who is aware of the probationary or community control status of the probationer or offender in community control or any probation officer may arrest or request any county or municipal law enforcement officer to arrest such probationer or offender without warrant wherever found and retu…"
"46","fl-failure-to-appear","Failure to Appear","843.15","misdemeanor","real_legal_question","none","","","Hold for the single narrow attorney question; do not map by heading or citation alone.","What exact Florida offense and subdivision, if any, should the label “Failure to Appear” represent?","false","Fla. Stat. § 843.15","cf7b83030fd86432b4face535308860163812c3b80baedb44da0f97bc812b0d8","843.15 
Failure of defendant on bail to appear.
—

(1) 
Whoever, having been released pursuant to chapter 903, willfully fails to appear before any court or judicial officer as required shall incur a forfeiture of any security which was given or pledged for her or his release and, in addition, shall:
(a) 
If she or he was released in connection with a charge of felony or while awaiting sentence or pending review by certiorari after conviction of any offense, be guilty of a felony of the third degree, punishable as provided in s. 775.082, s. 775.083, or s. 775.084, or;

(b) 
If she or he was released in connection with a charge of misdemeanor, be guilty of a misdemeanor of the first degree,…"
"47","fl-resisting-arrest","Resisting Arrest / Obstruction","843.01","misdemeanor","real_legal_question","none","","","Hold for the single narrow attorney question; do not map by heading or citation alone.","What exact Florida offense and subdivision, if any, should the label “Resisting Arrest / Obstruction” represent?","false","Fla. Stat. § 843.01","73b17f040c91922032611719813fc53f91c96cb914bb26703521ec185c85160f","843.01 
Resisting, obstructing, or opposing by offering or doing violence to legally authorized person, police canine, or police horse.
—

(1) 
Whoever knowingly and willfully resists, obstructs, or opposes any officer as defined in s. 943.10(1), (2), (3), (6), (7), (8), or (9); member of the Florida Commission on Offender Review or any administrative aide or supervisor employed by the commission; parole and probation supervisor; county probation officer; personnel or representative of the Department of Law Enforcement; or other person legally authorized to execute process in the execution of legal process or engaged in the performance of his or her official duties as described in s. 943.10…"
"48","fl-protective-order-violation","Violation of Protective Order","741.31","misdemeanor","covered_by_existing_exact_record","partial","fl-fs-741-31-4-a-violation-of-an-injunction-for-protection-against-domestic-violence","Fla. Stat. § 741.31(4)(a)","Retire the umbrella legacy row; use the enumerated exact records and do not imply coverage beyond them.","","false","Fla. Stat. § 741.31(4)(a) | Fla. Stat. § 741.31","f0433c68106ee239b69af6a51f56ba48ae06cd2cee67d0b92b0245efc3c15cae | f0433c68106ee239b69af6a51f56ba48ae06cd2cee67d0b92b0245efc3c15cae","Violation of an injunction for protection against domestic violence | 741.31 
Violation of an injunction for protection against domestic violence.
—

(1) 
In the event of a violation of the injunction for protection against domestic violence when there has not been an arrest, the petitioner may contact the clerk of the circuit court of the county in which the violation is alleged to have occurred. The clerk shall either assist the petitioner in the preparation of an affidavit in support of the violation or direct the petitioner to the office operated by the court within the circuit that has been designated by the chief judge of that circuit as the central intake point for injunction violations and where the petitioner can receive assistance in the preparation…"
"49","fl-open-container","Open Container Violation","316.1936","misdemeanor","genuinely_missing_offense","none","","","Author a new exact source-first record for the proven offense branch, with exact subdivision and grading evidence.","","false","Fla. Stat. § 316.1936","9df742d1d07a54b0fb430b09e6de2305c5a44569eb4f9c86b76d135c02df1b58","316.1936 
Possession of open containers of alcoholic beverages in vehicles prohibited; penalties.
—

(1) 
As used in this section, the term:
(a) 
“Open container” means any container of alcoholic beverage which is immediately capable of being consumed from, or the seal of which has been broken.

(b) 
“Road” means a way open to travel by the public, including, but not limited to, a street, highway, or alley. The term includes associated sidewalks, the roadbed, the right-of-way, and all culverts, drains, sluices, ditches, water storage areas, embankments, slopes, retaining walls, bridges, tunnels, and viaducts necessary for the maintenance of travel and all ferries used in connection therewit…"
"50","fl-false-info-to-police","Providing False Information to Police","837.05","misdemeanor","mechanical_correction","full","fl-fs-837-05-false-reports-to-law-enforcement-authorities","Fla. Stat. § 837.05","Retire the legacy row and route selection to fl-fs-837-05-false-reports-to-law-enforcement-authorities; preserve the source-first display name and exact code.","","true","Fla. Stat. § 837.05 | Fla. Stat. § 837.05","10d2fea76549f8dabb0137942a00134b5aec3a6d10c01b3ff8dbfb4c2cd21c7a | 10d2fea76549f8dabb0137942a00134b5aec3a6d10c01b3ff8dbfb4c2cd21c7a","False reports to law enforcement authorities | 837.05 
False reports to law enforcement authorities.
—

(1)(a) 
Except as provided in paragraph (b) or subsection (2), a person who knowingly gives false information to a law enforcement officer concerning the alleged commission of any crime, commits a misdemeanor of the first degree, punishable as provided in s. 775.082 or s. 775.083.

(b) 
A person who commits a violation of paragraph (a) commits a felony of the third degree, punishable as provided in s. 775.082, s. 775.083, or s. 775.084, if the person has previously been convicted of a violation of paragraph (a) and subparagraph 1. or subparagraph 2. applies:
1. 
The information the person gave to the law enforcement officer was commun…"
"51","fl-harassment","Harassment / Stalking","784.048","misdemeanor","covered_by_existing_exact_record","partial","fl-fs-784-048-2-stalking | fl-fs-784-048-3-aggravated-stalking","Fla. Stat. § 784.048(2) | Fla. Stat. § 784.048(3)","Retire the umbrella legacy row; use the enumerated exact records and do not imply coverage beyond them.","","false","Fla. Stat. § 784.048(2) | Fla. Stat. § 784.048(3) | Fla. Stat. § 784.048","5bb40bbb4be50afd26f3e959e1bfb87e90eed0fb52316e1518a9a3ba5c6faea1 | 5bb40bbb4be50afd26f3e959e1bfb87e90eed0fb52316e1518a9a3ba5c6faea1 | 5bb40bbb4be50afd26f3e959e1bfb87e90eed0fb52316e1518a9a3ba5c6faea1","commits the offense of stalking | commits the offense of aggravated stalking | 784.048 
Stalking; definitions; penalties.
—

(1) 
As used in this section, the term:
(a) 
“Harass” means to engage in a course of conduct directed at a specific person which causes substantial emotional distress to that person and serves no legitimate purpose.

(b) 
“Course of conduct” means a pattern of conduct composed of a series of acts over a period of time, however short, which evidences a continuity of purpose. The term does not include constitutionally protected activity such as picketing or other organized protests.

(c) 
“Credible threat” means a verbal or nonverbal threat, or a combination of the two, including threats delivered by electronic communication or implied by a patter…"
"52","fl-contempt-of-court","Contempt of Court","38.22","misdemeanor","genuinely_missing_offense","none","","","Author a new exact source-first record for the proven offense branch, with exact subdivision and grading evidence.","","false","Fla. Stat. § 38.22","b66c3db4c8910b04877f59c9e1598708547d0872d9e8b8c1de9b342aff7ff91b","38.22 
Power to punish contempts.
—

Every court may punish contempts against it whether such contempts be direct, indirect, or constructive, and in any such proceeding the court shall proceed to hear and determine all questions of law and fact.

History.
—
s. 1, Nov. 23, 1828; RS 975; GS 1345; RGS 2534; CGL 4161; s. 1, ch. 23004, 1945; s. 4, ch. 73-334."
