chargeId,catalogLabel,catalogCode,section,verdict,officialCatchline,candidateNames,sourceUrl,reason,evidence,decision,note
"oh-orc-4513-02-unsafe-vehicles","Unsafe vehicles","4513.02","4513.02","discovery_unresolved","Unsafe vehicles","","https://codes.ohio.gov/ohio-revised-code/section-4513.02","Section 4513.02 (""Unsafe vehicles"") has unresolved discovery signals (local_grade_candidate). Investigate conduct and penalty applicability before any legal referral. This is neither an automatic rename nor a finding that no offense exists.","(H) Whoever violates this section is guilty of a minor misdemeanor.","",""
"oh-orc-959-13-cruelty-to-animals","Cruelty to animals","959.13","959.13","discovery_unresolved","Cruelty to animals","","https://codes.ohio.gov/ohio-revised-code/section-959.13","Section 959.13 (""Cruelty to animals"") has unresolved discovery signals (penalty_scope_candidate). Investigate conduct and penalty applicability before any legal referral. This is neither an automatic rename nor a finding that no offense exists.","(D) Whoever violates division (A) of section 959.13 or section 959.21 of the Revised Code is guilty of a misdemeanor of the second degree.","",""
"oh-ovi","OVI","4511.19","4511.19","compound_ambiguous","Operating vehicle under the influence of alcohol or drugs - OVI","operating a vehicle under the influence of alcohol | operating a vehicle after underage alcohol consumption","https://codes.ohio.gov/ohio-revised-code/section-4511.19","Section 4511.19 states 2 offenses and the catalog label matches none of them. Choose the intended offense.","Whoever violates any provision of divisions (A)(1)(a) to (i) or (A)(2) of this section is guilty of operating a vehicle under the influence of alcohol | Whoever violates division (B) of this section is guilty of operating a vehicle after underage alcohol consumption","",""
"oh-panhandling","Panhandling / Aggressive Solicitation","2917.11","2917.11","label_conflict","Disorderly conduct","disorderly conduct","https://codes.ohio.gov/ohio-revised-code/section-2917.11","Section 2917.11 states only ""disorderly conduct"", which does not describe the catalog label ""Panhandling / Aggressive Solicitation"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of disorderly conduct","",""
"oh-possession-marijuana","Possession of Marijuana","2925.11","2925.11","compound_ambiguous","Possession of controlled substances","aggravated possession of drugs | possession of drugs | possession of marihuana | possession of cocaine | possession of L.S.D. | possession of heroin | possession of hashish | possession of a controlled substance analog | possession of a fentanyl-related compound","https://codes.ohio.gov/ohio-revised-code/section-2925.11","Section 2925.11 states 9 offenses and the catalog label matches none of them. Choose the intended offense.","whoever violates division (A) of this section is guilty of aggravated possession of drugs | whoever violates division (A) of this section is guilty of possession of drugs | whoever violates division (A) of this section is guilty of possession of marihuana | whoever violates division (A) of this section is guilty of possession of cocaine | whoever violates division (A) of this section is guilty of possession of L.S.D | whoever violates division (A) of this section is guilty of possession of heroin | whoever violates division (A) of this section is guilty of possession of hashish | whoever violates division (A) of this section is guilty of possession of a controlled substance analog | is guilty of possession of a fentanyl-related compound","",""
"oh-possession-of-prohibited-weapon","Possession of Prohibited Weapon","2923.17","2923.17","compound_ambiguous","Unlawful possession of dangerous ordnance - illegally manufacturing or processing explosives","unlawful possession of dangerous ordnance | illegally manufacturing or processing explosives","https://codes.ohio.gov/ohio-revised-code/section-2923.17","Section 2923.17 states 2 offenses and the catalog label matches none of them. Choose the intended offense.","Whoever violates division (A) of this section is guilty of unlawful possession of dangerous ordnance | Whoever violates division (B) of this section is guilty of illegally manufacturing or processing explosives","",""
"oh-possession-with-intent-to-distribute","Possession with Intent to Distribute","2925.03","2925.03","compound_ambiguous","Trafficking, aggravated trafficking in drugs","aggravated trafficking in drugs | trafficking in drugs | trafficking in marihuana | trafficking in cocaine | trafficking in L.S.D. | trafficking in heroin | trafficking in hashish | trafficking in a controlled substance analog | trafficking in a fentanyl-related compound","https://codes.ohio.gov/ohio-revised-code/section-2925.03","Section 2925.03 states 9 offenses and the catalog label matches none of them. Choose the intended offense.","whoever violates division (A) of this section is guilty of aggravated trafficking in drugs | whoever violates division (A) of this section is guilty of trafficking in drugs | whoever violates division (A) of this section is guilty of trafficking in marihuana | whoever violates division (A) of this section is guilty of trafficking in cocaine | whoever violates division (A) of this section is guilty of trafficking in L.S.D | whoever violates division (A) of this section is guilty of trafficking in heroin | whoever violates division (A) of this section is guilty of trafficking in hashish | whoever violates division (A) of this section is guilty of trafficking in a controlled substance analog | whoever violates division (A) of this section is guilty of trafficking in a fentanyl-related compound","",""
"oh-probation-violation","Probation Violation","2951.08","2951.08","discovery_unresolved","Conditions for arrest of person on probation or under community control sanction","","https://codes.ohio.gov/ohio-revised-code/section-2951.08","The section exists in the snapshot but has no recognized offense signal. Investigate extraction and dependencies before any legal referral; omission is not proof that no offense exists.","(A) During a period of community control, any field officer or probation officer may arrest the person under a community control sanction without a warrant and bring the person before the judge or magistrate before whom the cause was pending. During a period of community control, any peace officer may arrest the person under a community control sanction without a warrant upon the written order of the chief probation officer of the probation agency if the person under a community control sanction is under the supervision of that probation agency or on the order of an officer of the adult parole","",""
"oh-public-intoxication","Public Intoxication","2917.11","2917.11","label_conflict","Disorderly conduct","disorderly conduct","https://codes.ohio.gov/ohio-revised-code/section-2917.11","Section 2917.11 states only ""disorderly conduct"", which does not describe the catalog label ""Public Intoxication"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of disorderly conduct","",""
"oh-recidivist-enhancement","Prior Felony / Recidivist Sentencing Enhancement","OH habitual offender / recidivist statute","","section_missing","","","","Catalog code ""OH habitual offender / recidivist statute"" does not contain an Ohio section number, and no section states an offense named ""Prior Felony / Recidivist Sentencing Enhancement"".","","",""
"oh-reckless-driving","Reckless Driving","4511.20","4511.20","discovery_unresolved","Operation in willful or wanton disregard of the safety of persons or property","","https://codes.ohio.gov/ohio-revised-code/section-4511.20","Section 4511.20 (""Operation in willful or wanton disregard of the safety of persons or property"") has unresolved discovery signals (local_grade_candidate). Investigate conduct and penalty applicability before any legal referral. This is neither an automatic rename nor a finding that no offense exists.","(B) Except as otherwise provided in this division, whoever violates this section is guilty of a minor misdemeanor.","",""
"oh-reckless-driving-criminal","Reckless/Careless Driving (Criminal)","2903.08","2903.08","compound_ambiguous","Aggravated vehicular assault; vehicular assault","aggravated vehicular assault | vehicular assault","https://codes.ohio.gov/ohio-revised-code/section-2903.08","Section 2903.08 states 2 offenses and the catalog label matches none of them. Choose the intended offense.","Whoever violates division (A)(1) of this section is guilty of aggravated vehicular assault | Whoever violates division (A)(2) or (3) of this section is guilty of vehicular assault","",""
"oh-rico-organized-crime","RICO / Organized Crime (Racketeering)","OH organized crime / racketeering statute","","section_missing","","","","Catalog code ""OH organized crime / racketeering statute"" does not contain an Ohio section number, and no section states an offense named ""RICO / Organized Crime (Racketeering)"".","","",""
"oh-sexual-assault-in-the-second-degree","Sexual Assault in the Second Degree","2907.03","2907.03","label_conflict","Sexual battery","sexual battery","https://codes.ohio.gov/ohio-revised-code/section-2907.03","Section 2907.03 states only ""sexual battery"", which does not describe the catalog label ""Sexual Assault in the Second Degree"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of sexual battery","",""
"oh-sexual-exploitation-of-minor","Sexual Exploitation of Minor","2907.321","2907.321","label_conflict","Pandering obscenity involving a minor or impaired person","pandering obscenity involving a minor or impaired person","https://codes.ohio.gov/ohio-revised-code/section-2907.321","Section 2907.321 states only ""pandering obscenity involving a minor or impaired person"", which does not describe the catalog label ""Sexual Exploitation of Minor"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of pandering obscenity involving a minor or impaired person","",""
"oh-shoplifting","Shoplifting","2913.02","2913.02","label_conflict","Theft","theft","https://codes.ohio.gov/ohio-revised-code/section-2913.02","Section 2913.02 states only ""theft"", which does not describe the catalog label ""Shoplifting"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of theft","",""
"oh-statutory-rape","Statutory Rape","2907.04","2907.04","label_conflict","Unlawful sexual conduct with minor","unlawful sexual conduct with a minor","https://codes.ohio.gov/ohio-revised-code/section-2907.04","Section 2907.04 states only ""unlawful sexual conduct with a minor"", which does not describe the catalog label ""Statutory Rape"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of unlawful sexual conduct with a minor","",""
"oh-theft-by-receiving","Theft by Receiving","2913.51","2913.51","label_conflict","Receiving stolen property","receiving stolen property","https://codes.ohio.gov/ohio-revised-code/section-2913.51","Section 2913.51 states only ""receiving stolen property"", which does not describe the catalog label ""Theft by Receiving"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of receiving stolen property","",""
"oh-trespass-after-warning","Trespass After Warning / Return After Ban","2911.21","2911.21","label_conflict","Criminal trespass","criminal trespass","https://codes.ohio.gov/ohio-revised-code/section-2911.21","Section 2911.21 states only ""criminal trespass"", which does not describe the catalog label ""Trespass After Warning / Return After Ban"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of criminal trespass","",""
"oh-truancy","Truancy / Chronic Absenteeism","3321.38","3321.38","discovery_unresolved","Prohibiting failure to send child to school","","https://codes.ohio.gov/ohio-revised-code/section-3321.38","The section exists in the snapshot but has no recognized offense signal. Investigate extraction and dependencies before any legal referral; omission is not proof that no offense exists.","(A) No parent, guardian, or other person having care of a child of compulsory school age shall violate any provision of section 3321.01, 3321.03, 3321.04, 3321.07, 3321.10, 3321.19, 3321.20, or 3331.14 of the Revised Code. The juvenile court, which has exclusive original jurisdiction over any violation of this section pursuant to section 2151.23 of the Revised Code, may require a person convicted of violating this division to give bond in a sum of not more than five hundred dollars with sureties to the approval of the court, conditioned that the person will cause the child under the person's c","",""
"oh-unlawful-carrying-of-weapon","Unlawful Carrying of Weapon","2923.12","2923.12","label_conflict","Carrying concealed weapons","carrying concealed weapons","https://codes.ohio.gov/ohio-revised-code/section-2923.12","Section 2923.12 states only ""carrying concealed weapons"", which does not describe the catalog label ""Unlawful Carrying of Weapon"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of carrying concealed weapons","",""
"oh-unregistered-vehicle","Operating Unregistered / Uninsured Vehicle","4503.02","4503.02","discovery_unresolved","Levy of annual license tax","","https://codes.ohio.gov/ohio-revised-code/section-4503.02","The section exists in the snapshot but has no recognized offense signal. Investigate extraction and dependencies before any legal referral; omission is not proof that no offense exists.","An annual license tax is hereby levied upon the operation of motor vehicles on the public roads or highways, for the purpose of enforcing and paying the expense of administering the law relative to the registration and operation of such vehicles; planning, constructing, maintaining, and repairing public roads, highways, and streets; maintaining and repairing bridges and viaducts; paying the counties' proportion of the cost and expenses of cooperating with the department of transportation in the planning, improvement, and construction of state highways; paying the counties' portion of the compe","",""
"oh-wire-fraud","Wire Fraud","21-7","","section_missing","","","","Catalog code ""21-7"" does not contain an Ohio section number, and no section states an offense named ""Wire Fraud"".","","",""
